Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
04:45,01 Dec,JUJ,Jujuy,AR1470,Aerolineas Argentinas,Departed,04:49
05:10,01 Dec,CWB,Curitiba,AR1228,Aerolineas Argentinas,Departed,05:24
05:25,01 Dec,POA,Porto Alegre,AR1234,Aerolineas Argentinas,Departed,05:32
05:35,01 Dec,FTE,El Calafate,AR1866,Aerolineas Argentinas,Departed,05:41
06:10,01 Dec,MVD,Montevideo,AR1380,Aerolineas Argentinas,Departed,06:14
06:30,01 Dec,IGR,Iguazu,AR1734,Aerolineas Argentinas,Departed,06:34
06:30,01 Dec,GRU,Sao Paulo,AR1240,Aerolineas Argentinas,Departed,06:40
06:55,01 Dec,SLA,Salta,AR1452,Aerolineas Argentinas,Departed,07:09
07:00,01 Dec,MDZ,Mendoza,AR1410,Aerolineas Argentinas,Departed,07:04
07:15,01 Dec,SFN,Santa Fe,AR1720,Aerolineas Argentinas,Departed,07:22
07:15,01 Dec,COR,Cordoba,AR1508,Aerolineas Argentinas,Departed,07:12
07:20,01 Dec,MDQ,Mar Del Plata,AR1602,Aerolineas Argentinas,Departed,07:24
07:30,01 Dec,TUC,Tucuman,AR1482,Aerolineas Argentinas,Departed,07:43
07:35,01 Dec,GIG,Rio De Janeiro,AR1260,Aerolineas Argentinas,Departed,07:41
07:45,01 Dec,ROS,Rosario,AR1702,Aerolineas Argentinas,Departed,07:53
07:55,01 Dec,GRU,Sao Paulo,AR1244,Aerolineas Argentinas,Departed,08:05
08:30,01 Dec,RGL,Rio Gallegos,AR1800,Aerolineas Argentinas,Departed,08:53
08:30,01 Dec,BRC,San Carlos de Bariloche,AR1682,Aerolineas Argentinas,Departed,08:49
08:50,01 Dec,CNQ,Corrientes,AR1770,Aerolineas Argentinas,Departed,08:56
08:50,01 Dec,FMA,Formosa,AR1768,Aerolineas Argentinas,Departed,09:05
09:40,01 Dec,SLA,Salta,AR1456,Aerolineas Argentinas,Departed,09:54
09:45,01 Dec,USH,Ushuaia,AR1896,Aerolineas Argentinas,Departed,10:37
09:45,01 Dec,ASU,Asuncion,AR1342,Aerolineas Argentinas,Departed,10:05
09:50,01 Dec,BHI,Bahia Blanca,AR1620,Aerolineas Argentinas,Departed,09:52
09:55,01 Dec,MDQ,Mar Del Plata,AR1608,Aerolineas Argentinas,Departed,10:52
10:00,01 Dec,CRD,Comodoro Rivadavia,AR1834,Aerolineas Argentinas,Departed,10:34
10:15,01 Dec,MVD,Montevideo,AR1384,Aerolineas Argentinas,Departed,10:57
10:20,01 Dec,LUQ,San Luis,AR1430,Aerolineas Argentinas,Departed,10:31
10:40,01 Dec,MDZ,Mendoza,AR1448,Aerolineas Argentinas,Departed,11:10
10:50,01 Dec,RES,Resistencia,AR1780,Aerolineas Argentinas,Departed,11:26
11:05,01 Dec,MDQ,Mar Del Plata,AR1604,Aerolineas Argentinas,Estimated,11:25
11:10,01 Dec,SCL,Santiago,AR1284,Aerolineas Argentinas,Departed,13:20
11:40,01 Dec,AFA,San Rafael,AR1434,Aerolineas Argentinas,Cancelled,11:44
11:50,01 Dec,GIG,Rio De Janeiro,AR1268,Aerolineas Argentinas,Cancelled,11:55
12:10,01 Dec,GIG,Rio De Janeiro,G37653,Gol,Departed,14:44
12:10,01 Dec,SDE,Santiago Del Estero,AR1494,Aerolineas Argentinas,Cancelled,12:15
12:20,01 Dec,CPC,San Martin De Los Andes,AR1670,Aerolineas Argentinas,Cancelled,12:30
12:45,01 Dec,BRC,San Carlos de Bariloche,AR1684,Aerolineas Argentinas,Estimated,12:45
12:50,01 Dec,GRU,Sao Paulo,LA8033,LATAM Airlines,Departed,16:24
13:00,01 Dec,SLA,Salta,AR1450,Aerolineas Argentinas,Estimated,14:50
13:05,01 Dec,EQS,Esquel,AR1666,Aerolineas Argentinas,Cancelled,13:15
13:20,01 Dec,CNQ,Corrientes,AR1772,Aerolineas Argentinas,Cancelled,13:30
13:30,01 Dec,SCL,Santiago,AR1286,Aerolineas Argentinas,Unknown,13:35
13:35,01 Dec,IRJ,La Rioja,AR1440,Aerolineas Argentinas,Estimated,16:00
