TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
10:44,WJ3620,Corrientes (CNQ),JetSMART (Culpeo Livery),A320 (LV-IVN),,Departed 10:42
10:45,FO5500,Comodoro Rivadavia (CRD),Flybondi,B738 (LV-KJE),,Departed 10:05
10:50,AR1728,Parana (PRA),Aerolineas Argentinas,B737 (LV-CBF),,Departed 10:54
10:50,AR1736,Puerto Iguazu (IGR),Aerolineas Argentinas,B737 (LV-BYY),,Departed 11:00
10:50,AR1780,Resistencia (RES),Aerolineas Argentinas,E190 (LV-CPI),,Departed 11:37
11:00,AR1498,Tucuman (TUC),Aerolineas Argentinas,B738 (LV-GKS),,Departed 11:17
11:10,AR1284,Santiago (SCL),Aerolineas Argentinas,B738 (LV-FQC),,Departed 11:24
11:10,AR1602,Mar del Plata (MDQ),Aerolineas Argentinas,E190 (LV-CHO),,Departed 11:19
11:35,FO5120,Posadas (PSS),Flybondi,B738 (LV-KJF),,Departed 11:33
11:40,LA420,Santiago (SCL),LATAM Airlines,A320 (CC-CQM),,Departed 11:48
11:45,AR1624,Bahia Blanca (BHI),Aerolineas Argentinas,B737 (LV-BZO),,Departed 11:50
11:50,AR1742,Puerto Iguazu (IGR),Aerolineas Argentinas,E190 (LV-CMB),,Departed 12:30
11:50,G37653,Rio de Janeiro (GIG),GOL Linhas Aereas,B38M (PS-GPF),,Departed 12:02
11:55,AR1434,San Rafael (AFA),Aerolineas Argentinas,E190 (LV-CDZ),,Departed 12:06
11:55,AR1550,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FQY),,Departed 12:16
11:55,AR1890,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-FWS),,Departed 12:10
11:55,FO5168,Salta (SLA),Flybondi,B738 (LV-KEH),,Departed 12:13
12:00,FO5052,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Departed 12:20
12:00,FO5102,Puerto Iguazu (IGR),Flybondi,B738 (LV-KEG),,Departed 12:41
12:05,FO5230,Santiago del Estero (SDE),Flybondi,B738 (LV-KGN),,Estimated dep. 10:44
12:10,AR1494,Santiago del Estero (SDE),Aerolineas Argentinas,E190 (LV-CMA),,Departed 12:59
12:10,AR1634,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B38M (LV-HKW),,Departed 12:22
12:15,AR1766,Posadas (PSS),Aerolineas Argentinas,B737 (LV-CAD),,Departed 12:23
12:20,AR1604,Mar del Plata (MDQ),Aerolineas Argentinas,B738 (LV-FSK),,Departed 12:31
12:25,AR1802,Rio Gallegos (RGL),Aerolineas Argentinas,B38M (LV-KEI),,Departed 12:38
12:39,WJ3014,Santiago (SCL),JetSMART (King Penguin Livery),A320 (LV-JQE),,Departed 12:49
12:40,FO5272,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KDR),,Unknown
12:40,FO6060,Mendoza (MDZ),Flybondi,738,,Unknown
12:50,AR1668,Neuquen (NQN),Aerolineas Argentinas,E190 (LV-GIK),,Departed 14:23
12:50,LA8033,Sao Paulo (GRU),LATAM Airlines,A320 (PR-TYN),,Departed 13:08
12:50,FO6102,Puerto Iguazu (IGR),Flybondi,B738 (LV-KEG),,Estimated dep. 12:41
13:00,AR1670,San Martin de los Andes (CPC),Aerolineas Argentinas,B38M (LV-KKD),,Departed 13:11
13:05,AR1778,Formosa (FMA),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Departed 13:35
13:05,AR1892,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-FVM),,Departed 13:16
