],FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
4:45,AR1341,Asuncion (ASU),Aerolineas Argentinas,E190 (LV-CEU),,Landed 03:59
4:45,AR1825,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-CID),,Landed 04:36
5:05,AR1365,Lima (LIM),Aerolineas Argentinas,B38M (LV-GVD),,Landed 04:27
5:25,AR1221,Salvador (SSA),Aerolineas Argentinas,B38M (LV-HKW),,Landed 04:48
5:45,AR1369,Santa Cruz (VVI),Aerolineas Argentinas,E190 (LV-CET),,Landed 04:58
7:30,AR1361,Bogota (BOG),Aerolineas Argentinas,B737 (LV-BZO),,Landed 07:25
8:05,ZP820,Asuncion (ASU),Paranair,CRJ2 (ZP-CRR),,Landed 07:43
8:25,AR1709,Rosario (ROS),Aerolineas Argentinas,E190 (LV-CMB),,Landed 08:11
8:40,AR1531,Cordoba (COR),Aerolineas Argentinas,B738 (LV-GKT),,Landed 08:26
8:40,AR1855,Trelew (REL),Aerolineas Argentinas,B738 (LV-GVC),,Landed 08:16
8:40,FO5063,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Landed 08:59
8:45,AR1381,Montevideo (MVD),Aerolineas Argentinas,E190 (LV-CMA),,Landed 08:49
8:50,AR1465,Salta (SLA),Aerolineas Argentinas,E190 (LV-CIH),,Landed 08:45
8:55,AR1417,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-GVA),,Landed 08:42
8:56,WJ3267,Cordoba (COR),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Landed 08:37
8:59,FO5021,Cordoba (COR),Flybondi,738,,Unknown
9:10,AR1623,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-CKZ),,Landed 08:55
9:20,FO5161,Salta (SLA),Flybondi,B738 (LV-KEH),,Landed 09:34
9:20,LA8032,Sao Paulo (GRU),LATAM Airlines,A320 (PR-MHA),,Landed 09:16
9:30,AR1543,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FVN),,Landed 09:22
9:30,AR1665,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-GGK),,Landed 09:26
9:35,AR1845,Rio Grande (RGA),Aerolineas Argentinas,B38M (LV-KEJ),,Landed 09:12
9:35,FO5121,Posadas (PSS),Flybondi,B738 (LV-KGN),,Landed 08:02
9:40,AR1235,Porto Alegre (POA),Aerolineas Argentinas,B38M (LV-GVE),,Landed 09:32
9:45,AR1471,Jujuy (JUJ),Aerolineas Argentinas,E190 (LV-CPI),,Landed 09:28
9:47,WJ3183,San Carlos de Bariloche (BRC),JetSMART (Andean Condor Livery),A320 (LV-KFX),,Landed 09:53
9:50,AR1787,Resistencia (RES),Aerolineas Argentinas,E190 (LV-CET),,Landed 09:43
9:55,AR1721,Santa Fe (SFN),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Landed 09:36
10:05,AR1837,Comodoro Rivadavia (CRD),Aerolineas Argentinas,B737 (LV-CBT),,Landed 09:50
10:10,AR1489,Tucuman (TUC),Aerolineas Argentinas,B738 (LV-GFQ),,Landed 09:39
10:10,FO5237,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KAY),,Landed 10:11
10:15,AR1603,Mar del Plata (MDQ),Aerolineas Argentinas,B738 (LV-CXS),,Landed 09:56
10:20,AR1767,Posadas (PSS),Aerolineas Argentinas,E190 (LV-CDZ),,Landed 10:03
10:20,LA421,Santiago (SCL),LATAM Airlines,A320 (CC-BAZ),,Landed 10:07
10:24,WJ3391,Puerto Iguazu (IGR),JetSMART (Jaguar Livery),A320 (LV-HVT),,Landed 10:13
10:30,AR1653,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-GUB),,Landed 10:02
10:40,AR1229,Curitiba (CWB),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Landed 10:16
10:45,AR1463,Salta (SLA),Aerolineas Argentinas,E190 (LV-CHO),,Landed 10:29
10:45,AR1509,Cordoba (COR),Aerolineas Argentinas,B737 (LV-CAD),,Landed 10:25
10:45,AR1847,Rio Grande (RGA),Aerolineas Argentinas,B738 (LV-FRK),,Landed 10:33
10:55,AR1713,Mendoza (MDZ),Aerolineas Argentinas,E190 (LV-CIE),,Landed 10:48
11:00,FO5239,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KDR),,Landed 11:08
11:05,FO5051,Mendoza (MDZ),Flybondi,738,,Unknown
11:20,AR1765,Posadas (PSS),Aerolineas Argentinas,E190 (LV-CID),,Landed 11:14
11:20,FO5101,Puerto Iguazu (IGR),Flybondi,738,,Unknown
11:20,G37650,Rio de Janeiro (GIG),GOL Linhas Aereas,B38M (PS-GPC),,Landed 11:12
11:20,WJ3241,Mendoza (MDZ),JetSMART (King Penguin Livery),A320 (LV-JQE),,Landed 11:48
11:40,FO5301,Neuquen (NQN),Flybondi,B738 (LV-KJD),,Landed 11:36
11:40,LA8140,Sao Paulo (GRU),LATAM Airlines,A320 (PR-MAG),,Landed 11:44
11:55,AR1885,Ushuaia (USH),Aerolineas Argentinas,B38M (LV-KKD),,Landed 12:17
12:00,AR1281,Santiago (SCL),Aerolineas Argentinas,B738 (LV-FVO),,Landed 11:57
12:00,AR1651,Neuquen (NQN),Aerolineas Argentinas,E190 (LV-CEU),,Landed 11:38
12:10,AR1483,Tucuman (TUC),Aerolineas Argentinas,B737 (LV-CAP),,Landed 12:01
12:20,G37682,Sao Paulo (GRU),GOL Linhas Aereas,B38M (PS-GPL),,Landed 12:14
12:25,AR1771,Corrientes (CNQ),Aerolineas Argentinas,E190 (LV-GBK),,Landed 12:32
12:30,AR1621,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-CMA),,Landed 12:44
12:35,AR1725,Puerto Iguazu (IGR),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Landed 12:04
12:39,WJ3445,Neuquen (NQN),JetSMART (Culpeo Livery),A320 (LV-IVN),,Landed 12:21
12:40,AR1385,Montevideo (MVD),Aerolineas Argentinas,B738 (LV-GKT),,Landed 12:39
12:45,AR1769,Formosa (FMA),Aerolineas Argentinas,E190 (LV-FPT),,Landed 12:50
12:45,FO5221,Tucuman (TUC),Flybondi,B738 (LV-KJF),,Landed 10:45
13:00,AR1241,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-FUC),,Landed 13:56
13:05,FO5551,El Calafate (FTE),Flybondi,B738 (LV-KEG),,Landed 13:01
13:15,AR1421,San Juan (UAQ),Aerolineas Argentinas,E190 (LV-CMB),,Landed 13:29
13:35,AR1733,Puerto Iguazu (IGR),Aerolineas Argentinas,B38M (LV-KEI),,Landed 13:25
13:48,WJ3460,Ushuaia (USH),JetSMART (Cardinal Livery),A320 (LV-IVO),,Landed 13:40
13:50,AR1431,San Luis (LUQ),Aerolineas Argentinas,E190 (LV-CPI),,Landed 13:37
13:50,AR1696,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GUC),,Landed 13:44
13:55,FO5311,Puerto Madryn (PMY),Flybondi,B738 (LV-HKN),,Landed 14:57
14:00,AR1727,Parana (PRA),Aerolineas Argentinas,E190 (LV-CIE),,Landed 13:52
14:05,FO5103,Puerto Iguazu (IGR),Flybondi,738,,Unknown
14:10,AR1673,San Martin de los Andes (CPC),Aerolineas Argentinas,B38M (LV-HKU),,Landed 14:29
14:25,AR1343,Asuncion (ASU),Aerolineas Argentinas,B738 (LV-GVC),,Landed 14:19
14:35,AR1683,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-GKU),,Landed 14:37
14:35,AR1781,Resistencia (RES),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Landed 14:24
14:40,AR1457,Salta (SLA),Aerolineas Argentinas,B737 (LV-BYY),,Landed 14:32
14:45,AR1261,Rio de Janeiro (GIG),Aerolineas Argentinas,B38M (LV-GVD),,Landed 14:08
14:56,WJ3551,San Martin de los Andes (CPC),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Landed 14:53
15:25,AR1499,Tucuman (TUC),Aerolineas Argentinas,B737 (LV-BZO),,Landed 15:04
